batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
3,float64,True,xn,float64,16384,float32,True,NumbaSolver,1.229845760999524,float32,64,float32,0.4099485869998413,2.4393302763119102,39965.98724709434,654802735.0563936
8192,float64,False,xn,float64,1,float32,True,NumbaSolver,1.6746207230007712,float32,64,float32,0.00020442147497568008,4891.853950857998,4891.853950857998,4891.853950857998
8192,float64,False,xn,float64,4,float32,True,NumbaSolver,1.6889909800011083,float32,64,float32,0.00020617565673841654,4850.233125575735,19400.93250230294,77603.73000921177
8192,float64,False,xn,float64,16,float32,True,NumbaSolver,1.7905192490015907,float32,64,float32,0.00021856924426288948,4575.209121358473,73203.34594173556,1171253.535067769
8192,float64,False,xn,float64,64,float32,True,NumbaSolver,1.6928364320010587,float32,64,float32,0.00020664507226575424,4839.215322366643,309709.78063146514,19821425.96041377
4608,float64,False,xn,float64,256,float32,True,NumbaSolver,2.5504771479991177,float32,64,float32,0.0005534889644095307,1806.7207556103906,462520.51343626,118405251.43968256
648,float64,False,xn,float64,1024,float32,True,NumbaSolver,1.6102341000005254,float32,64,float32,0.0024849291666674774,402.4259578155677,412084.1808031413,421974201.1424167
41,float64,False,xn,float64,4096,float32,True,NumbaSolver,0.9217680669989932,float32,64,float32,0.0224821479755852,44.4797357034552,182188.9974413525,746246133.5197798
3,float64,False,xn,float64,16384,float32,True,NumbaSolver,1.1289795550001145,float32,64,float32,0.3763265183333715,2.657266897981776,43536.66085653342,713304651.4734435
8192,float64,True,xn,float64,1,float32,False,NumbaSolver,4.887817545999496,float32,64,float32,0.0005966574152831416,1676.0036402555286,1676.0036402555286,1676.0036402555286
8192,float64,True,xn,float64,4,float32,False,NumbaSolver,4.7048208369997155,float32,64,float32,0.0005743189498290668,1741.1927645738097,6964.771058295239,27859.084233180954
8192,float64,True,xn,float64,16,float32,False,NumbaSolver,4.8259632179997425,float32,64,float32,0.0005891068381347342,1697.4849641302087,27159.75942608334,434556.15081733343
8192,float64,True,xn,float64,64,float32,False,NumbaSolver,4.744293895999363,float32,64,float32,0.0005791374384764847,1726.7058448693333,110509.17407163733,7072587.140584789
4608,float64,True,xn,float64,256,float32,False,NumbaSolver,2.932847309999488,float32,64,float32,0.0006364686002603056,1571.1694176130854,402219.3709089499,102968158.95269117
648,float64,True,xn,float64,1024,float32,False,NumbaSolver,2.012484068000049,float32,64,float32,0.0031056852901235324,321.9901266815814,329717.88972193934,337631119.0752659
41,float64,True,xn,float64,4096,float32,False,NumbaSolver,1.6322800039997674,float32,64,float32,0.03981170741462847,25.11823945617963,102884.30881251176,421414128.8960482
3,float64,True,xn,float64,16384,float32,False,NumbaSolver,2.0051484539999365,float32,64,float32,0.6683828179999788,1.496148573944987,24512.898235514665,401619324.6906723
8192,float64,False,xn,float64,1,float32,False,NumbaSolver,2.1154729099998804,float32,64,float32,0.00025823643920896977,3872.4201861797715,3872.4201861797715,3872.4201861797715
8192,float64,False,xn,float64,4,float32,False,NumbaSolver,2.1219064409997372,float32,64,float32,0.00025902178234860074,3860.679171198677,15442.716684794708,61770.86673917883
8192,float64,False,xn,float64,16,float32,False,NumbaSolver,2.2158141899999464,float32,64,float32,0.00027048513061522783,3697.060898414139,59152.974374626225,946447.5899940196
8192,float64,False,xn,float64,64,float32,False,NumbaSolver,2.1171628560005047,float32,64,float32,0.0002584427314453741,3869.3291717177412,247637.06698993544,15848772.287355868
4608,float64,False,xn,float64,256,float32,False,NumbaSolver,2.67757416799941,float32,64,float32,0.0005810707829859831,1720.9607319460126,440565.94737817923,112784882.52881388
648,float64,False,xn,float64,1024,float32,False,NumbaSolver,1.9517311420004262,float32,64,float32,0.0030119307746920157,332.01294279489366,339981.2534219711,348140803.5040984
41,float64,False,xn,float64,4096,float32,False,NumbaSolver,1.4841540670004179,float32,64,float32,0.03619887968293702,27.625164335441234,113152.6731179673,463473349.09119403
3,float64,False,xn,float64,16384,float32,False,NumbaSolver,1.9042163169997366,float32,64,float32,0.6347387723332455,1.57545126213747,25812.19347886031,422906977.9576473
8192,float64,True,split,float64,1,float32,True,NumbaSolver,5.694911979000608,float32,64,float32,0.0006951796849365977,1438.4770177672883,1438.4770177672883,1438.4770177672883
8192,float64,True,split,float64,4,float32,True,NumbaSolver,5.664721619001284,float32,64,float32,0.0006914943382569927,1446.143438456255,5784.57375382502,23138.29501530008
8192,float64,True,split,float64,16,float32,True,NumbaSolver,5.679535188000955,float32,64,float32,0.0006933026352540228,1442.3715548601726,23077.944877762762,369247.1180442042
8192,float64,True,split,float64,64,float32,True,NumbaSolver,5.810585380000703,float32,64,float32,0.000709299973144617,1409.8407413813802,90229.80744840833,5774707.676698133
4608,float64,True,split,float64,256,float32,True,NumbaSolver,3.3483546340012253,float32,64,float32,0.0007266394605037382,1376.1983134067016,352306.7682321156,90190532.6674216
648,float64,True,split,float64,1024,float32,True,NumbaSolver,1.593506230001367,float32,64,float32,0.002459114552471245,406.65043399262026,416410.04440844315,426403885.4742458
